word,spell,type,meaning
ซื้อเชื่อแล้วโกง,seuuH cheuuaF laaeoH go:hngM,"verb, phrase",to buy on credit and not pay the the amount due
ซื้อได้,seuuH daiF,verb,purchaseable; can be bought
ซื้อทองดีกว่าเพราะออกตัวได้ง่าย,seuuH thaawngM deeM gwaaL phrawH aawkL dtuaaM daiF ngaaiF,example sentence,It is better to buy gold because is it may be more easily pawned for cash.
ซื้อรองเท้าให้แม่ใส่คู่ละ ๔๐๐๐ บาท กลัวแม่จะว่า เลยโกหกว่าคู่ละ ๗๐๐ บาท วันถัดมาแม่โอนเงินมาให้ ๒๑๐๐ บาท บอกว่าเพื่อนฝากซื้ออีก ๓ คู่ กูจะเป็นลม,seuuH raawngM thaaoH haiF maaeF saiL khuuF laH seeL phanM baatL gluaaM maaeF jaL waaF leeuyM go:hM hohkL waaF khuuF laH jetL raawyH baatL wanM thatL maaM maaeF o:hnM ngernM maaM haiF saawngR phanM raawyH baatL baawkL waaF pheuuanF faakL seuuH eekL saamR khuuF guuM jaL bpenM lohmM,example sentence,"I bought my mother a pair of shoes for 4,000 baht. I was afraid that she would criticize me so I lied to her by telling her than the shoes cost 700 baht. The next day my mother sent me 2,100 baht telling me that her friends asked me to buy them three more pairs. I’m about to pass out! [What am I going to do?!?]."
ซื้อเวลา,seuuH waehM laaM,verb,to buy some time
ซื้อหมวกใหม่ท่าจะง่ายกว่า,seuuH muaakL maiL thaaF jaL ngaaiF gwaaL,example sentence,It’s probably easier to just buy a new hat.
ซื้อหา,seuuH haaR,verb,to buy; purchase
ซื้ออะไร ,seuuH aL raiM,example sentence,What did you buy?
ซื้ออะไรมา,seuuH aL raiM maaM,example sentence,What have you been buying?
ซื้ออะไรมาจากตลาดบ้างจ๊ะ นุช? ไข่ หมู ต้นหอมและหอมใหญ่จ้ะ...ก็พี่เปรยไว้เมื่อวานว่า อยากกินไข่เจียวหมูสับไม่ใช่หรือจ๊ะ? ,seuuH aL raiM maaM jaakL dtaL laatL baangF jaH nootH khaiL muuR dtohnF haawmR laeH haawmR yaiL jaF gaawF pheeF bpreeuyM waiH meuuaF waanM waaF yaakL ginM khaiL jiaaoM muuR sapL maiF chaiF reuuR jaH,example sentence,"[older brother:] ""What did you buy from the market, Nooch?"" [younger sister:] ""Some eggs, pork, scallion and onion... because you mentioned yesterday you'd like to have omelet with minced pork, didn't you?"
ซื้ออะไรไม่เป็นโล้เป็นพาย,seuuH aL raiM maiF bpenM lo:hH bpenM phaaiM,verb,to purchase unimportant things
ซื่อบื้อ,seuuF beuuF,adjective,[is] stupid; idiot
ซื่อบื้อๆ,seuuF beuuF beuuF,,[alternate spelling of ซื่อบื้อ]
ซื่อสัตย์ ,seuuF satL,adjective,[is] faithful; true; sincere; honest
noun,[ความซื่อสัตย์] honesty,,
ซื่อสัตย์สุจริต,seuuF satL sootL jaL ritL,adjective,[is] honest; faithful; true; devoted; upright
ซื่อๆ บื้อๆ,seuuF seuuF beuuF beuuF,,[alternate spelling of ซื่อบื้อ]
ซุก ,sookH,"verb, transitive",to hide; to conceal; to put away
ซุกซ่อน,sookH saawnF,verb,to hide
ซุกปีก,sookH bpeekL,verb,to hide under the wings of; [is] protected by
ซุกหุ้น,sookH hoonF,verb,"to hide stock ownership (by holding the stock in another name, e.g.)"
,,,
ซุกซน ,sookH sohnM,adjective,[is] naughty; mischievous
ซุง ,soongM,noun,a cut tree; log; timber; lumber
noun,[ไม้ซุง] timber,,
ซุน,soonM,,[rhyming word for ซุก ]
ซุบ ,soopH,noun,soup
ซุบซิบ ,soopH sipH,verb,to gossip
noun,[การซุบซิบ] gossip,,
ซุป ,soopH,"noun, colloquial, loanword, English","[Thai transcription of foreign loanword] ""soup"" (as served in Western countries)"
ซุปไก่สกัด,soopH gaiL saL gatL,noun,chicken soup extract
ซุปและสลัด ,soopH laeH saL latL,noun,soup and salad
ซุปเปอร์มาเก็ต,soopH bpuuhrM maaM getL,"noun, loanword, English",supermarket
ซุปเปอร์มาร์เก็ต,soopH bpuuhrM maaM getL,,[alternate spelling of ซูเปอร์มาร์เก็ต]
ซุ่ม,soomF,,to lie in wait for
verb,to be in private,,
ซุ่มเงียบ,soomF ngiiapF,verb,to lie low; remain quiet
ซุ่มยิง,soomF yingM,verb,to shoot from an ambush; ambush
ซุ้ม ,soomH,noun,archway; arbor; arch; opening; entry way; booth
classifier,[Numerical classifier for booths; arbors],,
ซุ้มบังไพร,soomH bangM phraiM,noun,hunter's blind; camoflaged hide used by hunters
ซุ้มประตู  ,soomH bpraL dtuuM,"noun, phrase, formal",porch; window facade; door facade; lintel
ซุ้มประตูหน้าซึ่งติดป้ายชื่อภาพยนตร์ ,soomH bpraL dtuuM naaF seungF dtitL bpaaiF cheuuF phaapF phaH yohnM,noun,cinema marquee
ซุ่มซ่าม ,soomF saamF,"adjective, colloquial",[is] clumsy; blundering
ซุ่มซ่าม แล้วยังงมงายอีกนะ,soomF saamF laaeoH yangM ngohmM ngaaiM eekL naH,example sentence,"Not only is he clumsy, but his is also stupid."
ซุย ,suyM,adjective,[is] unstable; loose; crumbly
verb,to loosen or destabilize,,
ซู ,suuM,proper noun,Sue [an English given name]
ซูจะไปเป็นครูที่กรุงเทพฯ เพื่อหารายได้,suuM jaL bpaiM bpenM khruuM theeF groongM thaehpF pheuuaF haaR raaiM daiF,example sentence,Sue is going to become a teacher to make money in Bangkok.
ซู่,suuF,onomatopoeia,[the sound of rushing water or rain]
verb,"(of water) to splash, slosh, or pour (down)",,
adjective,"[is] (feeling) ""goosepimples"" or ""goose flesh""; [is] (having a) tingling (sensation)",,
"verb, poetic",to drag (something) along,,
ซู่ห้วย,suuF huayF,phrase,a rushing brook; a brook rushes
ซูโครส,suuM khro:htF,noun,sucrose
ซูจี,suuM jeeM,proper noun,Suu-Kyi
ซูชิ,suuM chiH,"noun, loanword, Japanese","[Thai transcription of the foreign loanword] ""寿司"" or ""sushi"
ซูชี,suuM cheeM,"noun, loanword, Japanese",[Thai transcription of foreign loan word] sushi
ซู่ซ่า,suuF saaF,adjective,[is] sexy
ซูซาน,suuM saanM,"proper noun, loanword, English",Susan [an English given name]
ซูซานเปลี่ยนพาสเวิร์ดเฟซบุ๊คใหม่,suuM saanM bpliianL phaatF weertF faehsF bookH maiL,example sentence,Susan changed her Facebook password.
ซูซานน์,suuM saanM,"proper noun, loanword, English",Susanne [an English given name]
ซูซานนาห์,suuM saanM naaM,"proper noun, loanword, English",Susannah [an English given name]
ซูซูกิ,suuM suuM giL,"proper noun, loanword, Japanese",[Thai transcription of foreign name] Suzuki
ซูดซาด,suutF saatF,noun,the sound of sucking one's lips while eating chili
ซูดาน ,suuM daanM,"proper noun, geographical","[ประเทศซูดาน] Sudan, a country in Africa"
ซูบ,suupF,adjective,skinny; thin
ซูบซีด,suupF seetF,adjective,pale and thin
ซูบผอม,suupF phaawmR,adjective,[is] thin; lean; skinny; gaunt; scrawny; emaciated
ซูเปอร์,suuM bpuuhrM,"noun, adjective, loanword, English",[Thai transcription of the foreign loanword] super
ซูเปอร์แมน,suuM bpuuhrM maaenM,"proper noun, person",Superman
ซูเปอร์มาร์เก็ต,suuM bpuuhrM maaM getL,"noun, loanword, English",[Thai transcription of the foreign loanword] supermarket
ซูเปอร์สโตร์,suuM bpuuhrM saL dto:hM,noun,[Thai transcription of foreign word] superstore
ซูม,suumM,"adjective, loanword, English",[Thai transcription of the foreign loanword] zoom
ซูโม่,suuM mo:hF,"noun, adjective, loanword, Japanese",[Thai transcription of the foreign loanword] sumo; sumo wrestling
ซูรินัม ,suuM riH namM,"proper noun, geographical","[ประเทศซูรินัม] Suriname, a country in Africa"
ซูวา ,suuM waaM,"proper noun, geographical","Suva, the capital city of ฟิจิ  (Fiji)"
ซูเอี๋ย,suuM iiaR,"verb, loanword, Chinese",to consent or agree with; to connive with
ซูฮก,suuM hohkH,"adjective, loanword, Chinese",[is] submissive; amenable; tractable
verb,to have respect for,,
เซ,saehM,verb,stagger; reel; totter
,,,
เซซวน,saehM suaanM,adjective,[same as ซวนเซ]
เซถลา,saehM thaL laaR,adjective,[is] tottering; leaning; sagging
เซ็กซ์,sekH,,[alternate spelling of เซ็กส์]
เซ็กซี่,sekH seeF,,[alternate spelling of เซ็กส์ซี่]
เซ็กส์,sekH,"noun, loanword, English",[Thai transcription of the foreign loanword] sex
เซ็กส์หมู่ ,sekH muuL,noun,orgy; group sex
เซ็กส์ซี่,sekH seeF,"adjective, loanword, English","[Thai transcription of the foreign loanword][is] ""sexy"", erotic"
เซ็ง,sengM,"adjective, colloquial",[is] bored
เซ็งเลย,sengM leeuyM,"interjection, example sentence","How tedious!"" ""Damn!"
เซ้ง ,sengH,"verb, transitive",to go out of business; liquidate; transfer for a price
เซ็งแซ่,sengM saaeF,adjective,clamorous; uproarious
เซเชลส์ ,saehM chaehnM,"proper noun, geographical","[ประเทศเซเชลส์] Seychelles, a country in Africa"
เซซิเลีย,saehM siH liiaM,"proper noun, loanword, English",Cecilia [an English given name]
เซด,saehtF,,"[Thai pronunciation of the English letter,] 'Z' [as named in Europe]; zed"
เซดริค,saehtF rikH,"proper noun, loanword, English",Cedric [an English given name]
เซต,setH,"noun, loanword, English",set [as in tennis]
เซต,saehtF,,[alternate pronunciation of เซต]
เซตรวด,setH ruaatF,"noun, colloquial",straight sets [in tennis]
เซ็ต,setH,"verb, loanword, English","[word derived from the English word ""set] to arrange; to set one's mind to"
เซติยัง,saehM dtiL yangM,proper noun,Setiyang [a Thai given name]
เซติอาวัน,saehM dtiL aaM wanM,proper noun,Setiawan [a Thai given name]
เซ็ท ,setH,"noun, loanword, English",[Thai transcription of the foreign loanword] set; (i.e. a hair treatment)
"noun, loanword, English",[Thai transcription of the foreign loanword] set; (i.e. period of sports play),,
classifier,"[numerical classifier for sets in ball games (ping pong, tennis, etc.)]",,
เซธ,saehtF,"proper noun, loanword, English",Seth [an English given name]
เซน,saehnM,loanword,Zen
verb,"to sign (a contract, one's name, etc.)",,
เซ็น,senM,,[alternate spelling of เซน]
เซ็น ,senM,verb,to sign one's name; to make a signature
noun,[shortened form of เซ็นติเมตร ] cm.,,
เซ็นชื่อ,senM cheuuF,"verb, colloquial",[informal] to sign
เซ็นนาม,senM naamM,"verb, transitive, intransitive",to sign one's name
เซ็นสลักหลังเช็ค ,senM saL lakL langR chekH,verb,to endorse a check
เซ็นสัญญา,senM sanR yaaM,verb,to sign a contract
เซ่น ,senF,noun,offerings to the spirits
"verb, transitive","[often used with ghosts and spirits] to make offerings or sacrifice to the spirits, to propritiate the spirits",,
"verb, transitive, colloquial",[slang] to bribe (a person),,
เซ็นเซอร์ ,senM suuhrM,"adjective, loanword, English",[Thai transcription of the foreign loanword] censor; to censor
noun,[Thai transcription of the foreign loanword] sensor (as in a digital camera),,
เซนต์ ,saehnM,"noun, loanword, English",[Thai transcription of the foreign loanword] Saint
เซนต์พอล ,saehnM phaawnM,"proper noun, geographical","St. Paul, the capital city of มินเนสโซต้า (Minnesota)"
เซ็นต์,senM,"noun, loanword, English",[Thai transcription of the foreign loanword] cent
,[ลายเซ็นต์] [common misspelling of ลายเซ็น],,
เซ็นต์,senM,,[alternate spelling of เซนต์ ]
เซนต์จอร์เจส ,saehnM jaawM jaehtL,"proper noun, geographical","Saint George's, St. George's, the capital city of เกรนาดา  (Grenada)"
เซ็นต์ยอร์ช,senM yaawchF,,[alternate spelling of เซนต์จอร์เจส ]
เซนต์เฮเลียร์ ,saehnM haehM liiaM,"proper noun, geographical","St. Helier, a city on Jersey Island"
เซนติ ,saehnM dtiL,,centi-
เซนติกรัม,saehnM dtiL gramM,,[alternate spelling of เซ็นติกรัม]
เซ็นติกรัม,senM dtiL gramM,"noun, loanword, English",[Thai transcription of the foreign loanword] centigram
เซนติเกรด,saehnM dtiL graehtL,,[alternate spelling of เซ็นติเกรด ]
เซ็นติเกรด ,senM dtiL graehtL,"noun, loanword, English",[Thai transcription of the foreign loanword] centigrade
เซนติเมตร,saehnM dtiL maehtF,,[alternate spelling of เซ็นติเมตร ]
เซ็นติเมตร ,senM dtiL maehtF,"noun, loanword, English",[Thai transcription of the foreign loanword] centimeter
เซนติลิตร,saehnM dtiL litH,,[alternate spelling of เซ็นติลิตร]
เซ็นติลิตร,senM dtiL litH,"noun, loanword, English",[Thai transcription of the foreign loanword] centiliter
เซนเตอร์,saehnM dtuuhrM,,[alternate spelling of เซ็นเตอร์ ]
เซ็นเตอร์ ,senM dtuuhrM,"noun, loanword, English",[Thai transcription of the foreign loanword] center
,,,
เซ็นทรัล,senM thranM,adjective,[Thai transcription of the foreign loanword] Central; one of a number of shopping centers and department stores located throughout Thailand
เซ็นทรัลเวิลด์พลาซ่า,senM thranM weernM phlaaM saaF,proper noun,"Central World Plaza, a large shopping center in Bangkok (formerly ""World Trade Center"" — เวิลด์เทรดเซ็นเตอร์)"
เซเนกอล,saehM naehM gaawnM,,[alternate spelling of เซเนกัล ]
เซเนกัล ,saehM naehM ganM,"proper noun, geographical","[ประเทศเซเนกัล] Senegal, a country in Africa"
เซเนกา,saehM naehM gaaM,"proper noun, geographical, loanword, Greek",Seneca
เซบาสเตียน,saehM baatL dtiianM,"proper noun, loanword, English",Sebastian [an English given name]
เซปัก,saehM bpakL,"noun, loanword","sepak, the Malaysian name of the game Takraw"
เซปักตะกร้อ ,saehM bpakL dtaL graawF,proper noun,"sepak takraw, the official name of the game takraw"
เซฟ ,sefH,"noun, loanword, English",[Thai transcription of foreign loanword] safe
verb,"[Thai transcription of the foreign loanword] to ""save",,
เซฟข้อความ,sefH khaawF khwaamM,verb,to save a message (in an email or tweet)
เซฟแอส,saehfF aaetL,verb,[Thai transcription of foreign loan word] Save As
เซฟเฮ้าส์,saehfF haaoH,"noun, loanword",[Thai transcription of English word] safehouse
เซมัง,saehM mangM,proper noun,"Semang, an ethnic minority people of the Malay peninsula"
เซรามิก,saehM raaM mikH,"noun, adjective",[Thai transcription of foreign loanword] ceramic
เซรามิค,saehM raaM mikH,"loanword, English",[Thai transcription of the foreign loanword] ceramic
เซริล,saehM rinM,"proper noun, loanword, English",Cyril [an English given name]
เซเรย,saehM reeuyM,"noun, Italian",[Thai transcription of name] Serie
เซเรย อา,saehM reeuyM aaM,,"Serie A, the top Italian soccer league"
เซเรีย อา,saehM riiaM aaM,proper noun,[Thai transcription of foreign loanword] Serie A
เซล,saehnM,,[alternate spelling of เซลล์]
เซลเซียส ,saehnM siiatF,"noun, loanword, English",[Thai transcription of the foreign loanword] Celsius
เซลฟี่,saehnM feeF,"noun, loanword, English",[Thai transcription of foreign loan word] selfie
เซลล์,saehnM,"noun, loanword, English",[Thai transcription of the foreign loanword] cell
เซลล์ชีววิทยา ,saehnM cheeM waH witH thaH yaaM,"noun, phrase, formal",Cell biology
เซลล์ต้นกำเนิด,saehnM dtohnF gamM neertL,noun,stem cell
เซลล์รับภาพ,saehnM rapH phaapF,noun,image sensor (e.g. in a digital camera)
เซลล์ร่างกาย,saehnM raangF gaaiM,noun,somatic cells
เซลล์สมอง ,saehnM saL maawngR,noun,brain cell
เซลล์สมองเรานั้น สามารถมีชีวิตอยู่ได้เพียงแค่ห้า นาที โดยไม่มีเลือดไหลเวียนมาเลี้ยง ,saehnM saL maawngR raoM nanH saaR maatF meeM cheeM witH yuuL daiF phiiangM khaaeF haaF naaM theeM dooyM maiF meeM leuuatF laiR wiianM maaM liiangH,"example sentence, formal",The cells of the brain can live only minutes without circulating blood.
เซลลูโลส,saehnM luuM lo:htF,"noun, loanword, English",[Thai transcription of the foreign loanword] cellulose
เซลส์แมน,saehnM maaenM,"noun, loanword, English",[Thai transcription of the foreign loanword] salesman
เซลส์แมนพยายามยัดเยียดใส่หูเขาตลอดเวลาถึงความดีของสินค้า,saehnM maaenM phaH yaaM yaamM yatH yiiatF saiL huuR khaoR dtaL laawtL waehM laaM theungR khwaamM deeM khaawngR sinR khaaH,example sentence,The salesman tried to forced them to constantly listen to [their pitch] about how good his products are.
เซลีน,saehM leenM,"proper noun, loanword, English",Céline [an English given name]
เซเลเนียม,saehM laehM niiamM,"noun, loanword, English","[chemistry] Selenium, Se, atomic number 34"
เซเลอร์,saehM luuhrM,"noun, loanword, English",[Thai transcription of the foreign loanword] sailor
เซเลอร์มูน  ,saehM luuhrM muunM,"proper noun, loanword, English",Sailor Moon
เซเลอรี่,saehM luuhrM reeF,"noun, loanword, English",[ผักเซเลอรี่] [Thai transcription of the foreign loanword] celery
เซเว่น,saehM wenF,"loanword, English",[Thai transcription of the foreign loanword] seven
proper noun,"[เซเว่นฯ] [Shortened form of Thai transcription for ""Seven Eleven]",,
เซเว่นอัพ ,saehM wenF apL,"proper noun, loanword, English",7-Up®
เซเว่นฯ,saehM wenF,proper noun,"[เซเว่นฯ] [Shortened form of Thai transcription for ""Seven Eleven]"
เซเว่นอีเลฟเว่น,saehM wenF eeM laehfF wenF,proper noun,[Thai transcription of foreign word] Seven Eleven
เซ่อ ,suuhrF,adjective,[is] stupid; foolish; gullible; uncouth; silly
เซ่อซ่า,suuhrF saaF,adjective,[is] stupid; clumsy
เซอร์,suuhrM,"loanword, English",[Thai transcription of the foreign loanword] sir; Sir
เซอร์เคิล,suuhrM kheernM,"noun, loanword, English",[Thai transcription of the foreign loanword] circle
เซอร์จิโอ,suuhrM jiL o:hM,"proper noun, loanword, English",Sergio [a Spanish given name]
เซอร์ทราลีน,suuhrtF raaM leenM,"formal, loanword, English",[Thai transcription of the foreign loanword] sertraline
เซอร์ทราลีน ไฮโดรคลอไรด์ ,suuhrtF raaM leenM haiM dro:hM khlaawM raiM,"noun, phrase, formal, loanword, English","[Thai transcription of the foreign loanword, ""sertraline hydrochloride""] (Zoloft®) โซลอฟต์"
เซอร์เบีย ,suuhrM biiaM,"proper noun, geographical","Serbia, a country in Europe"
เซอร์เพนไทม์,suuhrM phaehnM thaiM,"adjective, loanword, English",[Thai transcription of foreign loanword] serpentine
,,,
เซอร์ไพร์ส,suuhrM phraiM,"noun, verb",[Thai transcription of the foreign loanword] surprise
เซอร์เวอร์,suuhrM wuuhrM,,[IT] server (computer) [see notes]
เซอะ,suhH,adjective,[is] very stupid or silly
เซอูล ,saehM uunM,,[alternate spelling of โซล ]
เซา,saoM,"verb, intransitive, loanword, Lao",[Isaan dialect] to stop; to cease; to abate
adverb,sleepily; drowsily; torpidly; sluggishly,,
adjective,[ขี้เซา] halfsleep; sleepy; sluggish; torpid,,
เซ้าซี้,saaoH seeH,,to beseech; entreat; implore; supplicate; solicit; pester
เซานา,saoM naaM,,[alternate spelling of ซาวน่า]
เซาน่า,saoM naaF,"noun, proper noun, loanword, English",[Thai transcription of the foreign loanword] sauna
เซาะ,sawH,verb,to erode; to gouge out; to chisel away; to undermine
เซาะ,sawH,noun,[การเซาะ] erosion
เซาะ,sawH,noun,[กวย (Suay) language] hair
เซาะหมัด,sawH matL,noun,[กวย (Suay) language] eyelash
เซิ้ง,seerngH,"verb, intransitive",[รำเซิ้ง] to dance [Northeastern style]
noun,Northeastern style dance,,
เซิฟ,seerfF,"verb, transitive, loanword, English",[Thai transcription of the foreign loanword] serve; to serve
เซิร์จ,seertF,"noun, loanword, English",[Thai transcription of English] surge; storm surge
เซิร์ช,seertF,verb,[Thai transcription of foreign loanword] to search; to search using an internet search engine
เซิร์ฟเวอร์,seerfF wuuhrM,"noun, loanword, English",[Thai transcription of the foreign loanword] server
เซี่ยงไฮ้,siiangF haiH,"proper noun, geographical",Shanghai
เซียน,siianM,noun,great master; expert
เซียน,siianM,noun,immortal of Chinese stories; wizard
เซียมซี,siiamM seeM,noun,fortune sticks used at a shrine or temple
เซียร์ราลีโอน ,siiaM raaM leeM o:hnM,"proper noun, geographical","[ประเทศเซียร์ราลีโอน] Sierra Leone, a country in Africa"
เซียว ,siaaoM,adjective,pale; sickly
เซี้ยว,siaaoH,"adjective, colloquial",[is] crazy; unhinged
เซื่อง,seuuangF,"adjective, adverb",[is] slow; sluggish; unknowing; unwitting; lifeless
เซื่องซึม,seuuangF seumM,adjective,[is] sleepy
แซ่ ,saaeF,adjective,noisy; clamorous; boisterious
แซ่ ,saaeF,noun,clan; tribe; lineage; surname; family name
แซ่ซ้อง,saaeF saawngH,verb,to laud; praise
แซก,saaekF,,[euphonious suffix]
แซ็กคาริน,saekH khaaM rinM,"noun, loanword, English",[Thai transcription of the foreign loanword] saccharin
แซกซัน,saaekF sanM,"noun, loanword, English",[Thai transcription of the foreign loanword] saxon
แซกโซโฟน,saaekF so:hM fo:hnM,,[alternate spelling of แซ็กโซโฟน]
แซ็กโซโฟน,saekH so:hM fo:hnM,"noun, loanword, English",[Thai transcription of the foreign loanword] saxophone
แซ็ค,saekH,"proper noun, loanword, English",Zach [an English given name]
แซ็คคารี่,saekH khaaM reeF,"proper noun, loanword, English",Zachary [an English given name]
แซคราเมนโต,saaekF raaM maehnM dto:hM,,[alternate spelling of ซาคราเมนโต ]
แซคารี,saaeM khaaM reeM,"proper noun, person",Zachary [an English given name]
แซคารี เทย์เลอร์,saaeM khaaM reeM thaehM luuhrM,"proper noun, person",Zachary Taylor
แซง ,saaengM,verb,to overtake; to pass (in a vehicle)
แซงคิว,saaengM khiuM,verb,to cut into a line; queqe jump
แซงแบบไปแล้วไปลับเลยนะครับ,saaengM baaepL bpaiM laaeoH bpaiM lapH leeuyM naH khrapH,example sentence,They pass us by then they disappear.
แซงหน้า,saaengM naaF,"verb, phrase",to jump ahead; overtake; pass
แซ้ง,saaengH,verb,to pickpocket; pilfer; filch
noun,[นักแซ้ง] pickpocket,,
แซงต์เดอนีส์ ,saaengM duuhrM neeM,"proper noun, geographical","St. Denis, the capital city of the Department of Réunion, an island-nation off the east coast of Africa"
แซนดร้า,saaenM draaF,"proper noun, loanword, English",Sandra [an English given name]
แซนด์วิช ,saaenM witH,"loanword, English",[Thai transcription of the foreign loanword] sandwich
แซนด์วิชขนาดใหญ่ ,saaenM witH khaL naatL yaiL,noun,"submarine sandwich; ""hero"" sandwich"
แซนด์วิชเนื้อย่าง ,saaenM witH neuuaH yaangF,noun,roast beef sandwich
แซนดี้,saaenM deeF,"proper noun, loanword, English",Sandy [an English given name]
แซนเดอร์,saaenM duuhrM,"proper noun, loanword, English",Xander [an English given name]
แซบ ,saaepF,"adjective, colloquial",[Isaan dialect] [is] delicious; tasty; savory; palatable; อร่อย
"adjective, colloquial",[is] awesome; amazing; wonderful,,
แซ่บ ,saaepF,,[alternate spelling of แซบ ]
แซ่บหลาย ๆ,saaepF laaiR laaiR,example sentence,"[Isaan dialect] ""Very delicious!"" — อร่อยมาก"
แซ่บอีหลี,saaepF eeM leeR,adjective,[is] really delicious
แซม,saaemM,verb,interpolate; insert
"proper noun, person, colloquial, loanword, English",Sam [an English given name],,
verb,[ผสมแซม] to add in; combine; mix,,
แซมบา,saaemM baaM,"noun, loanword","samba, Brazilian dance music"
แซมเบีย ,saaemM biiaM,"proper noun, geographical","[ประเทศแซมเบีย] Zambia, a country in Africa"
แซมมวล,saaemM muaanM,,[alternate spelling of ซามูเอล]
แซมมี่,saaemM meeF,"noun, proper noun, person, colloquial, loanword, English",Sammy [an English given name]
แซมมูเอล,saaemM muuM aehnM,,[alternate spelling of ซามูเอล]
แซยิด,saaeM yitH,"noun, loanword, Chinese",one's sixtieth birthday
แซลมอน,saaenM maawnM,noun,[Thai transcription for foreign loanword] salmon
แซลลี่,saaenM leeF,"proper noun, loanword, English",Sally [an English given name]
แซว,saaeoM,"verb, transitive, intransitive, colloquial","[all used in a verbal aspect] to pull someone's leg; to kid or be kidding; to tease; to taunt; to make fun of; to mock; to hoax; to jest, (to say something) in jest; to joke"
แซะ,saeH,"verb, transitive","to shovel, spade, lift or move with a shovel"
โซ,so:hM,adjective,poor; penniless; destitute; beggarly; indigent
"noun, colloquial, loanword, English",[Thai transcription of the foreign loanword] so-; [short for] society,,
โซ่ ,so:hF,noun,chain; motorcycle chain
noun,[โซ่ขับ] drive chain,,
โซ่การผลิต,so:hF gaanM phaL litL,"noun, phrase",supply chain
โซ่ขับ,so:hF khapL,noun,[โซ่ขับ] drive chain
โซ่ตรวน,so:hF dtruaanM,noun,fetters; irons
โซ่ทองคลังใจ,so:hF thaawngM khlangM jaiM,"noun, phrase",a child (within a marriage); someone to keep the couple together
โซก,so:hkF,"verb, loanword, English",[Thai transcription of the foreign loanword] soak; to soak or wet
โซ่ง ,so:hngF,noun,[a particular] Thai ethnic minority group
โซเชี่ยนเน็ตเวิร์ค,so:hM chiianF netH weerkF,noun,[Thai transcription of foreign loanword] social network
โซเชี่ยลมีเดีย,so:hM chiianF meeM diiaM,"noun, loanword, English",[Thai transcription of foreign loanword] social media
โซซัดโซเซ,so:hM satH so:hM saehM,verb,to roam around destitude; wander in poverty
โซเซ ,so:hM saehM,verb,[เดินโซเซ] to stagger; sway; totter (walking)
โซดา,so:hM daaM,"noun, loanword, English",[Thai transcription of the foreign loanword] soda
noun,"sodium bicarbonate, baking soda, NaHCO3",,
โซดาไฟ ,so:hM daaM faiM,noun,sodium hydroxide — NaOH; lye
โซดาไลม์,so:hM daaM laiM,"noun, loanword, English","[Thai transcription of the foreign loanword, ""soda lime""]"
โซเดียม,so:hM diiamM,"noun, loanword, English","[chemistry] Sodium, Na, atomic number 11"
โซเดียมคลอไรด์,so:hM diiamM khlaawM raiM,"noun, loanword, English","sodium chloride, salt, NaCl"
โซเดียมคาร์บอเหนต ,so:hM diiamM khaaM baawM naehtL,"noun, loanword, English",sodium carbonate — Na2CO3
โซเดียมไนเตรต,so:hM diiamM naiM dtraehtL,"noun, loanword, English",sodium nitrate
โซเดียมไนไตรต์,so:hM diiamM naiM dtraiM,"noun, loanword, English",sodium nitrite
โซเดียมไฮดรอกไซด์,so:hM diiamM haiM daawnM ohkL saiM,"noun, loanword, English","sodium hydroxide, NaOH, lye"
โซเทอร์บี้,so:hM thuuhrM beeF,"proper noun, loanword, English",[Thai transcription of the foreign loanword] Sotheby's
โซน,so:hnM,"noun, English",[Thai transcription of foreign loanword] zone
โซฟา ,so:hM faaM,"noun, loanword, English",[Thai transcription of the foreign loanword] sofa; couch
โซฟานั่งคู่ ,so:hM faaM nangF khuuF,noun,love seat
โซฟี,so:hM feeM,"proper noun, loanword, English",Sophie [an English given name]
โซเฟีย ,so:hM fiiaM,"proper noun, geographical","Sofia, the capital city of บัลแกเรีย  (Bulgaria)"
"proper noun, loanword, English",Sophia [an English given name],,
โซม ,so:hmM,adjective,[is] soaking wet
verb,to wet or soak thoroughly,,
โซมาเลีย ,so:hM maaM liiaM,"proper noun, geographical","[ประเทศโซมาเลีย] Somalia, a country in Africa"
โซรม ,so:hmM,"verb, transitive",to team up; to join forces
verb,gang rape,,
โซล ,so:hnM,"proper noun, geographical","Seoul, the capital city of เกาหลีใต้ (South Korea)"
โซลอฟต์,so:hM laawfF,"noun, proper noun, formal, loanword, English","[Thai transcription of the foreign loanword] ""Zoloft"" — เซอร์ทราลีน ไฮโดรคลอไรด์ (sertraline hydrochloride)"
โซลา,so:hM laaM,,[alternate spelling of โซล่า]
โซล่า,so:hM laaF,"noun, loanword, English",[Thai transcription of foreign loanword] solar
โซลาร์เซลล์,so:hM laaM saehnM,"noun, loanword, English",solar cells
โซเวียต,so:hM wiiatF,"proper noun, loanword, English",[Thai transcription of the foreign loanword] Soviet
โซอี้,so:hM eeF,"proper noun, loanword, English",Zoe [an English given name]
ใซม่อน,saiM maawnF,,[alternate spelling of ไซมอน ]
,,,
ไซ,saiM,noun,a [type of] bamboo fish trap
ไซ้,saiH,verb,to preen
ไซเกิล,saiM geernM,"loanword, English",[Thai transcription of the foreign loanword] cycle; cycle
ไซโกมาตา,saiM go:hM maaM dtaaM,"noun, loanword, English",[Thai transcription of the foreign loanword] zygomata
